,Average account balance,TN debtor transactions,TN creditor transactions,TN transactions,average debtor transaction,average creditor transaction,DBNCD,DFACD,Label
5527,0.5464293654461666,3.2170171207211294e-07,1.35453352451416e-07,4.571550645235289e-07,0.2864744128814142,0.6809702092981231,-1.8624835962069698e-07,0.39449579641670895,0
5528,0.5957953324628973,1.0340261065596675e-07,1.1817441217824772e-07,2.2157702283421448e-07,0.6474354899184792,0.4139087960851133,1.4771801522280965e-08,-0.23352669383336594,1
5529,0.6495081385796576,1.4503373898811656e-07,2.0949317853839057e-07,3.5452691752650713e-07,0.6041296842001478,0.42591992863457645,6.445943955027403e-08,-0.17820975556557136,1
5530,0.08988656196651994,1.1155451354305467e-08,4.462180541722186e-09,1.5617631896027652e-08,0.20645215947741283,0.7843966401523623,-6.69327081258328e-09,0.5779444806749494,0
5531,0.3251621161700018,8.693407488118371e-08,3.57844912883012e-07,4.447789877641957e-07,0.7524093637899658,0.22605505297568157,2.7091083800182827e-07,-0.5263543108142842,1
5532,0.3513722461636805,3.9331160199536704e-08,3.9331160199536704e-08,7.866232039907341e-08,0.6551047971557642,0.6687225187094215,0.0,0.01361772155365718,1
5533,0.5607216083398852,1.0462383747186352e-08,1.7786052370216797e-07,1.8832290744935433e-07,0.581255166381183,0.5896300290613671,1.6739813995498163e-07,0.008374862680183998,1
5534,0.274356074816526,5.46569681881589e-08,6.148908921167877e-08,1.1614605739983766e-07,0.718646824595171,0.6332292870613121,6.8321210235198625e-09,-0.08541753753385894,1
5535,0.9792322848501779,1.4634451408588484e-07,2.622005877372103e-07,4.0854510182309517e-07,0.1645827967168476,0.06691468147670364,1.158560736513255e-07,-0.09766811524014399,2
5536,0.7802448939262568,3.4010219375671704e-08,1.4089948027063992e-06,1.443005022082071e-06,0.44621952470251564,0.007993387849644745,1.3749845833307275e-06,-0.43822613685287093,2
5537,0.2000817556916663,3.619444829409523e-08,1.497701308721182e-08,5.117146138130705e-08,0.45923056450863137,0.7969019046820622,-2.121743520688341e-08,0.33767134017343087,0
5538,0.10037429604193325,6.266514240784437e-09,5.01321139262755e-09,1.1279725633411986e-08,0.4945363341621437,0.8054239347590064,-1.2533028481568874e-09,0.3108876005968627,0
5539,0.08436090347336588,5.604002047537325e-07,4.582219719320934e-08,6.062224019469419e-07,0.08383175032025446,0.7427516599277049,-5.145780075605233e-07,0.6589199096074504,0
